pair,direction,entry_price,exit_price,pips_result,outcome,session,setup_type,traded_at,notes
AUD/USD,BUY,0.652,0.6545,25,win,London,trend_continuation,2025-02-01 08:00:00,
AUD/USD,SELL,0.656,0.653,30,win,New York,trend_continuation,2025-02-01 08:00:00,
AUD/USD,BUY,0.651,0.6495,-15,loss,London,range_breakout,2025-02-01 08:00:00,
AUD/USD,BUY,0.648,0.6505,25,win,Sydney,london_breakout,2025-02-01 08:00:00,
AUD/USD,SELL,0.655,0.6575,-25,loss,London,mean_reversion,2025-02-01 08:00:00,
EUR/USD,BUY,1.085,1.0875,25,win,London,trend_continuation,2025-02-01 08:00:00,
EUR/USD,SELL,1.09,1.087,30,win,New York,trend_continuation,2025-02-01 08:00:00,
EUR/USD,BUY,1.082,1.08,-20,loss,London,range_breakout,2025-02-01 08:00:00,
GBP/USD,BUY,1.265,1.268,30,win,London,london_breakout,2025-02-01 08:00:00,
GBP/USD,SELL,1.27,1.267,30,win,New York,trend_continuation,2025-02-01 08:00:00,
AUD/USD,BUY,0.65,0.652,20,win,London,trend_continuation,2025-02-01 08:00:00,
AUD/USD,SELL,0.654,0.651,30,win,London,trend_continuation,2025-02-01 08:00:00,
AUD/USD,BUY,0.649,0.647,-20,loss,Sydney,mean_reversion,2025-02-01 08:00:00,
AUD/USD,BUY,0.648,0.6505,25,win,London,trend_continuation,2025-02-01 08:00:00,
AUD/USD,SELL,0.653,0.6555,-25,loss,New York,range_breakout,2025-02-01 08:00:00,
AUD/USD,BUY,0.647,0.6495,25,win,London,trend_continuation,2025-02-01 08:00:00,
AUD/USD,BUY,0.646,0.644,-20,loss,London,london_breakout,2025-02-01 08:00:00,
AUD/USD,SELL,0.652,0.6495,25,win,London,trend_continuation,2025-02-01 08:00:00,
AUD/USD,BUY,0.651,0.6535,25,win,New York,trend_continuation,2025-02-01 08:00:00,
AUD/USD,BUY,0.65,0.6525,25,win,London,trend_continuation,2025-02-01 08:00:00,
AUD/USD,BUY,0.65,0.652,-20,loss,London,trend_continuation,2025-02-01 08:00:00,
AUD/USD,BUY,0.651,0.653,25,win,London,trend_continuation,2025-02-01 08:00:00,
AUD/USD,BUY,0.652,0.654,25,win,London,trend_continuation,2025-02-01 08:00:00,
AUD/USD,BUY,0.653,0.655,-20,loss,London,trend_continuation,2025-02-01 08:00:00,
AUD/USD,BUY,0.654,0.656,25,win,London,trend_continuation,2025-02-01 08:00:00,
AUD/USD,BUY,0.655,0.657,25,win,London,trend_continuation,2025-02-01 08:00:00,
AUD/USD,BUY,0.656,0.658,-20,loss,London,trend_continuation,2025-02-01 08:00:00,
AUD/USD,BUY,0.657,0.659,25,win,London,trend_continuation,2025-02-01 08:00:00,
AUD/USD,BUY,0.658,0.66,25,win,London,trend_continuation,2025-02-01 08:00:00,
AUD/USD,BUY,0.659,0.661,-20,loss,London,trend_continuation,2025-02-01 08:00:00,
AUD/USD,BUY,0.66,0.662,25,win,London,trend_continuation,2025-02-01 08:00:00,
AUD/USD,BUY,0.661,0.663,25,win,London,trend_continuation,2025-02-01 08:00:00,
AUD/USD,BUY,0.662,0.664,-20,loss,London,trend_continuation,2025-02-01 08:00:00,
AUD/USD,BUY,0.663,0.665,25,win,London,trend_continuation,2025-02-01 08:00:00,
AUD/USD,BUY,0.664,0.666,25,win,London,trend_continuation,2025-02-01 08:00:00,
AUD/USD,SELL,0.655,0.653,25,win,New York,trend_continuation,2025-02-01 08:00:00,
AUD/USD,SELL,0.654,0.652,-20,loss,New York,trend_continuation,2025-02-01 08:00:00,
AUD/USD,SELL,0.653,0.651,25,win,New York,trend_continuation,2025-02-01 08:00:00,
AUD/USD,SELL,0.652,0.65,-20,loss,New York,trend_continuation,2025-02-01 08:00:00,
AUD/USD,SELL,0.651,0.649,25,win,New York,trend_continuation,2025-02-01 08:00:00,
AUD/USD,SELL,0.65,0.648,-20,loss,New York,trend_continuation,2025-02-01 08:00:00,
AUD/USD,SELL,0.649,0.647,25,win,New York,trend_continuation,2025-02-01 08:00:00,
AUD/USD,SELL,0.648,0.646,-20,loss,New York,trend_continuation,2025-02-01 08:00:00,
AUD/USD,SELL,0.647,0.645,25,win,New York,trend_continuation,2025-02-01 08:00:00,
AUD/USD,SELL,0.646,0.644,-20,loss,New York,trend_continuation,2025-02-01 08:00:00,
AUD/USD,SELL,0.645,0.643,25,win,New York,trend_continuation,2025-02-01 08:00:00,
AUD/USD,SELL,0.644,0.642,-20,loss,New York,trend_continuation,2025-02-01 08:00:00,
AUD/USD,SELL,0.643,0.641,25,win,New York,trend_continuation,2025-02-01 08:00:00,
AUD/USD,SELL,0.642,0.64,-20,loss,New York,trend_continuation,2025-02-01 08:00:00,
AUD/USD,SELL,0.641,0.639,25,win,New York,trend_continuation,2025-02-01 08:00:00,
